Author 1, Author 2, P(A->B), P(B->A),Multiplication,Averaged,Squared,Encode 1,Encode 2
margherita ,no-panic ,0.019694837925333806,0.04495237790659162,0.0008853297972286782,0.03232360791596271,0.0012043014601810966,24 ,25
margherita ,aaaaaaaaaaaaaaaasssssssssssssdddddddddd ,0.03491510241422303,0.03226202002285744,0.0011264317331877815,0.03358856121854023,0.0011299511562754686,24 ,0
margherita ,alpinist ,0.02715210291649774,0.015640863307747332,0.0004246823302348288,0.021396483112122534,0.0004909366488998609,24 ,1
margherita ,Peter Pekster ,0.029272421887650932,0.04441536559039372,0.001300145319856259,0.036843893739022325,0.0014147996918484778,24 ,26
margherita ,Ariovistvs ,0.01560824656197131,0.021115866570866552,0.0003295816518077728,0.01836205656641893,0.0003447485908889644,24 ,2
margherita ,R.B.C. ,0.021643648420508768,0.018990891249648586,0.0004110321733995104,0.02031726983507868,0.0004145507337032855,24 ,27
margherita ,Ribald Corello ,0.01985581512051941,0.01946624931594629,0.000386518247507367,0.01966103221823285,0.00038659412826541335,24 ,28
margherita ,Richi Rich ,0.02018026264320585,0.020891258647311912,0.0004215910864498998,0.02053576064525888,0.00042184384410882714,24 ,29
margherita ,Bleiben Sie sachlich ,0.030314849498032377,0.0351968760064285,0.0010669879989357869,0.03275586275223044,0.001078905090350128,24 ,3
margherita ,cedebe ,0.03866111095468521,0.010697457782734216,0.00041357560227134836,0.024679284368709715,0.0008045585516319309,24 ,4
margherita ,CETAoderGoodByeGermany ,0.022793610319042385,0.016224194400982182,0.00036980796491637715,0.019508902360012285,0.00039138657766860856,24 ,5
margherita ,rock_lobster ,0.021571385310203375,0.020139649489689784,0.0004344401391545391,0.02085551739994658,0.00043546507288441,24 ,30
margherita ,slocum ,0.019576713486959097,0.018448813574138953,0.0003611671375152401,0.019012763530549023,0.0003618032166219099,24 ,31
margherita ,deep_franz ,0.022890565983108575,0.01858354997043049,0.0004253879767985346,0.020737057976769533,0.0004346631702652673,24 ,6
margherita ,diespdisttot ,0.023085529972089142,0.016610304581285002,0.0003834576842567845,0.019847917276687072,0.00040442195618764184,24 ,7
margherita ,eagle58 ,0.030244056242656397,0.04611233702254193,0.001394624114390085,0.038178196632599165,0.0015205252818447272,24 ,8
margherita ,Eckard P. ,0.04200240867046375,0.028154302023942736,0.0011825484994413076,0.035078355347203244,0.0012784335282880173,24 ,9
margherita ,sonnenkatze ,0.04152031680105041,0.020841993195900993,0.0008653661602591462,0.0311811549984757,0.001079162693818786,24 ,32
margherita ,Friwi ,0.043678746854702376,0.013526131737872794,0.0005908044841019013,0.028602439296287585,0.0010453945832937313,24 ,10
margherita ,Gamma Ray Burst ,0.04420087831942697,0.012291456028273237,0.0005432931522742925,0.028246167173850104,0.0010523987677518818,24 ,11
margherita ,globallynaive ,0.039836190163960734,0.016310289894750994,0.0006497398098766278,0.028073240029355864,0.0009264738016150292,24 ,12
margherita ,gottwuerfeltnicht ,0.023255173183684648,0.014686179817467445,0.0003415296550619396,0.018970676500576045,0.00037824347871707683,24 ,13
margherita ,Hans_Joachim ,0.021006290485840094,0.015433837787298323,0.0003242076798713241,0.01822006413656921,0.0003397337944100668,24 ,14
margherita ,Sumtina ,0.014982496850718759,0.015984574603111885,0.00023948883865120287,0.015483535726915323,0.00023999091856212348,24 ,33
margherita ,Super-Duper Missile ,0.0155054160046201,0.024722981178379334,0.0003833401080451644,0.020114198591499717,0.000425821861911414,24 ,34
margherita ,Jan Reiter ,0.020159570547942113,0.060730075138694106,0.0012242922341403292,0.04044482284331811,0.0020472751555144436,24 ,15
margherita ,Jordanes ,0.013615499801873612,0.02334649995330969,0.0003178742654887304,0.01848099987759165,0.0003652204474623549,24 ,16
margherita ,JuJuMila ,0.012172049512689454,0.03202356229586428,0.0003897923858379552,0.022097805904276867,0.000586833665728232,24 ,17
margherita ,knowwhereman ,0.013076963487558844,0.03854722779856809,0.0005040806904684882,0.025812095643063467,0.0008284478725048239,24 ,18
margherita ,Superforecaster ,0.018199934981833754,0.031023504003134736,0.0005646257557657114,0.024611719492484245,0.0006468477169877465,24 ,35
margherita ,too late ,0.022285532512592545,0.03097823905496862,0.0006903665536423674,0.026631885783780583,0.0007281481271583013,24 ,36
margherita ,whitemouse ,0.01380832358049354,0.04354121918654097,0.0006012312436169514,0.028674771383517254,0.0010432537841770088,24 ,37
margherita ,Lea Paul ,0.024185549763568896,0.031765886775530126,0.000768275435393479,0.02797571826954951,0.0007970061900009337,24 ,19
margherita ,Leute von heute ,0.007131246137120058,0.017918403010867934,0.0001277805422546124,0.012524824573993997,0.0001859619189640354,24 ,20
margherita ,Lucy Meineke ,0.027418959214997998,0.00019580038811658085,5.368642856049309e-06,0.013807379801557289,0.0003759188311128551,24 ,21
margherita ,whitemouse-neu ,0.030085705179441362,0.0432218739538686,0.0013003605570790662,0.03665378956665498,0.001386640022114185,24 ,38
margherita ,Yankee Babe ,0.009329681798750338,0.018097981529267743,0.00016884840886772907,0.013713831664009041,0.00020728994894982487,24 ,39
margherita ,Zeit 12 ,0.028300512014202996,0.004752657895919068,0.0001345026518828543,0.01652658495506103,0.000411753368670845,24 ,40
margherita ,Mahlsdorfer ,0.026378853612889122,0.015373639912835347,0.0004055389967579531,0.020876246762862233,0.00046609636104987873,24 ,22
margherita ,Maik12 ,0.02129059546657825,0.0206367772968357,0.00043936927716079513,0.020963686381706974,0.00043958301626033787,24 ,23
margherita ,zelebration ,0.029112845396311902,0.011529809898878104,0.0003356655730349048,0.020321327647595002,0.0004902471416869134,24 ,41
no-panic ,aaaaaaaaaaaaaaaasssssssssssssdddddddddd ,0.02179865948154765,0.015496334036213644,0.0003377993088677381,0.018647496758880645,0.0003576589618771904,25 ,0
no-panic ,alpinist ,0.03244486347728469,0.02838939929790376,0.0009210901844226093,0.030417131387594224,0.0009293135792777302,25 ,1
no-panic ,Peter Pekster ,0.02718191866099031,0.030581679683082237,0.0008312687296620013,0.028881799172036274,0.0008370479171656691,25 ,26
no-panic ,Ariovistvs ,0.03111571149044931,0.03101212000834706,0.0009649641788869176,0.031063915749398187,0.0009649695444844997,25 ,2
no-panic ,R.B.C. ,0.023133020340596642,0.028344548878938596,0.0006556950257615223,0.02573878460976762,0.0006692750406144986,25 ,27
no-panic ,Ribald Corello ,0.019529740381428327,0.02389399390435249,0.0004666434976274351,0.02171186714289041,0.00047616685203361313,25 ,28
no-panic ,Richi Rich ,0.021189201066348813,0.026362402200058102,0.0005585982408089874,0.023775801633203458,0.000571979245793893,25 ,29
no-panic ,Bleiben Sie sachlich ,0.018797575024060948,0.0379991282728766,0.0007142914645583135,0.028398351648468774,0.0008986412881418649,25 ,3
no-panic ,cedebe ,0.020662228169321978,0.0197899468272721,0.0004089043968038457,0.02022608749829704,0.00040928483417368986,25 ,4
no-panic ,CETAoderGoodByeGermany ,0.019075518364499784,0.02223544067487581,0.00042415255693633897,0.020655479519687797,0.0004291451114401451,25 ,5
no-panic ,rock_lobster ,0.019296616621490237,0.026244986968805405,0.0005064394517730451,0.022770801795147823,0.0005305793770147694,25 ,30
no-panic ,slocum ,0.020773597378933688,0.022491407651722337,0.00046722744704234825,0.021632502515328014,0.0004687028831089974,25 ,31
no-panic ,deep_franz ,0.02432008926809554,0.02253590908781668,0.0005480753207533871,0.02342799917795611,0.0005496669702112372,25 ,6
no-panic ,diespdisttot ,0.026956860806738203,0.027649890432196515,0.0007453542477022839,0.027303375619467357,0.0007455943927331652,25 ,7
no-panic ,eagle58 ,0.023619777336506366,0.01784736452572654,0.0004215507761411234,0.020733570931116455,0.0004382111509701509,25 ,8
no-panic ,Eckard P. ,0.024454037488988018,0.016466867503824745,0.0004026813952647289,0.020460452496406382,0.0004345788374506754,25 ,9
no-panic ,sonnenkatze ,0.025693950606438205,0.027120017667545307,0.0006968203943956406,0.026406984136991756,0.0006978372280270279,25 ,32
no-panic ,Friwi ,0.026428491055844335,0.018186418290608256,0.0004806395931311841,0.022307454673226295,0.0005146054748649073,25 ,10
